"Position","Company","Posting_Text","Link","Term"
"Programming Specialist","Nuventra Pharma Sciences","We seek an individual looking to make an entry into pharmaceutical drug development for a unique data programming opportunity in the field of pharmacokinetics (PK) and pharmacodynamics (PD).
Responsibilities
Qualifications","https://www.indeed.com/rc/clk?jk=7743385ded5b2fb4&fccid=1db0764f9c3d2de8&vjs=3","r+programming"
"Health Policy Analyst","Center For Health Information And Analysis","The mission of the Center for Health Information and Analysis (CHIA) is to be the agency of record for Massachusetts health care information, to responsibly steward sensitive and confidential data, and to objectively report reliable and meaningful information about the quality, affordability, utilization, access, and outcomes of the Commonwealth’s health care system.
CHIA is seeking a Health Policy Analyst to join a motivated team of talented analysts focused on cutting-edge health care analytics. A successful candidate will be a detailed-oriented analyst who is eager to learn and utilize large data sets, develop analytic methodologies, and produce policy-relevant products.
S/he will be an experienced health policy analyst with experience in data analysis methods (e.g. descriptive statistics) and tools (e.g. Excel and SAS). The primary responsibilities of the Health Policy Analyst will be to support the data collection, analysis, and reporting of aggregate-level health care finance and insurance cost and coverage metrics. There will also be opportunities for the analyst to collaborate with other teams internally on provider financial performance and quality measurement.
This position will remain open until filled; however, first consideration will be given to those applicants that apply within the first 14 days. The full time salary range for this position is $57,245.50- $81,952.52 annually.
Specifically, the Health Policy Analyst will:
Preferred Qualifications
Qualifications:
Applicant must have at least (A) Three years of full-time, or equivalent part-time professional experience in Business Administration, health care planning or administration, public health policy or administration, health care planning or administration, public health policy or administration, human services policy analysis or administration or economics, the major duties of which included financial analysis of costs, expenses and revenue and/or the development, implementation and monitoring of financial reimbursement systems, or (B) any equivalent combination of the required experience and the substitutions below.
SUBSTITUTIONS:
I. A Bachelor's degree with a major in public health, health services research, statistics, public policy, or economics may be substituted for a maximum of two years of the required experience.*
II. A Master’s degree or higher with a major in public health, health services research, statistics, public policy, public administration, or economics may be substituted for a maximum of three years of the required experience.*
Total Compensation:
As an employee of the Commonwealth of Massachusetts you are offered a great career opportunity influencing a wide-spectrum of services to the diverse populations we serve - but it's more than a paycheck. The State's total compensation package features an outstanding set of employee benefits which you should consider towards your overall compensation, including:
BARGAINING UNIT: 06 NAGE, Reimbursement Systems Analyst II
CHIA is an Equal Opportunity / Affirmative Action Employer. Females, minorities, veterans, and persons with disabilities are strongly encouraged to apply.
If you have Diversity, Affirmative Action or Equal Employment Opportunity questions or need a Reasonable Accommodation, please contact Diversity Officer / ADA Coordinator: Tonya Bourassa 617-701-8127.
In compliance with federal laws, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.
SPECIAL REQUIREMENTS: None.","https://www.indeed.com/rc/clk?jk=7ebc0e47323ab811&fccid=7465094da85cc688&vjs=3","r+programming"
"Junior Healthcare Research Programmer","Mathematica Policy Research","Position Description:
One of the foremost public policy research organizations in the United States, Mathematica Policy Research is leading the way in providing health care research services to federal agencies, including the Centers for Medicare & Medicaid Services (CMS).
We are seeking an intellectually curious programmer our various Mathematica locations who is passionate about using data to answer research questions that influence decision making in U.S. health care policy. Individuals with an interest in confronting the challenges of processing and manipulating large, complex data sets as well as a desire to become a subject matter expert in health care data are strongly encouraged to apply.
Responsibilities:
Working with large secondary data sources such as Medicare and Medicaid administrative claims data and survey data to effectively answer research questions about health care policy
Interpreting requirements and specifications to develop performance measures based on cost and quality of care for evaluating the effectiveness of numerous health care policies
Using a myriad of data sources to provide a comprehensive and rigorous assessment of the potential of creative ideas for service delivery and payment models to improve the health outcomes and well-being of patients, and to reduce spending for Medicare, Medicaid, and other payers
Aptitude for interpreting data outputs and articulating findings to researchers and policymakers
Position Requirements:
A bachelor’s degree with a strong academic record in the social sciences (economics, public policy, sociology, political science, or government) or a related field
0 - 3 years of programming experience in a professional or academic environment using SAS, Stata, R, or a similar language.
Applicants must submit a cover letter, resume, and salary requirements. In addition, recent college graduates must provide a transcript. You will be asked to attach these materials during the online application process.
We offer our employees a stimulating, team-oriented work environment, competitive salaries, and a comprehensive benefits package, as well as the advantages of employee ownership. We provide generous paid time off (and an on-site fitness center). Visit our web site at www.mathematica-mpr.com
Various federal agencies with whom we contract require that staff successfully undergo a background investigation or security clearance as a condition of working on the project. If you are assigned to such a project, you will be required to obtain the requisite security clearance.
Available locations: Cambridge, MA; Woodlawn, MD; Princeton, NJ; Washington, DC; Ann Arbor, MI.
We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.","https://www.indeed.com/rc/clk?jk=a7e7f26d10f3f8c6&fccid=3ac641078b706bab&vjs=3","r+programming"
"Brewery Representative I","Harpoon Brewery","OVERVIEW
This is an entry level direct, outside sales position in the Harpoon Distributing Company. The HDC Sales Representative is responsible for the overall management of a sales territory, with routine peer-to-peer coaching from a Senior Sales Representative. The primary responsibility is to execute ongoing sales transactions at individual retail accounts. The Sales Representative must maintain existing accounts and acquire new business within the assigned territory. Other duties include managing Accounts Receivable and Collections, merchandising and relationship development. The ideal candidate will have regular and ongoing sales activity with each account within the territory, achieve sales goals on a monthly basis and provide excellent customer service.
JOB DUTIES
(including but not limited to):
QUALIFICATIONS
REQUIREMENTS
45 - 50+ hours per week, Monday through Friday, 8 a.m. - 5 p.m. Evening and weekend work required. Ability to deliver kegs is a must.
OPPORTUNITIES
This is a full-time position with great benefits including, health, dental, LTD, STD, ESOP, 401K, paid vacation and holidays.
POSITION: Brewery Representative I
LOCATION: Boston Brewery
SUPERVISOR: HDC Sales Manager
DEPARTMENT: Harpoon Distributing Company
FLSA: Full Time, Exempt
JOB GRADE: Firkin","https://www.indeed.com/rc/clk?jk=9fa104c40e5e719e&fccid=770d6384171496db&vjs=3","r+programming"
"Big Data Scientist / Clinical Analyst","UnitedHealth Group","","https://www.indeed.com/rc/clk?jk=f38df3b3346dc90f&fccid=d3d3520998346837&vjs=3","r+programming"
"Language Engineer","Amazon.com","","https://www.indeed.com/rc/clk?jk=e0f8347a7c3e85c5&fccid=fe2d21eef233e94a&vjs=3","r+programming"
"Masters Level Statistician","Massachusetts General Hospital(MGH)","","https://www.indeed.com/rc/clk?jk=e3459bf059931189&fccid=3aaabf5c54e51db9&vjs=3","r+programming"
"Research Analyst","Center For Health Information And Analysis","The mission of the Center for Health Information and Analysis (CHIA) is to monitor the Massachusetts health care system and to provide reliable information and meaningful analysis for those seeking to improve the health care system. CHIA also acts as a principal repository for health care data collected by the state and is responsible for key data assets such as the Massachusetts All-Payer Claims Database and the Massachusetts Acute Hospital Case Mix Databases.
CHIA is seeking a Research Analyst to join its Health System Performance Research Team. The Analyst will provide analytical and programming support for projects undertaken by the Research Team on access, affordability, utilization, and quality. Current Research Team projects include the Massachusetts Health Insurance Survey, the Massachusetts Employer Survey, ongoing analyses of avoidable hospital use measures such as readmissions and revisits, and exploration of methods to appropriately account for socioeconomic factors in reporting. The work of the analyst will draw mostly upon CHIA’s data assets, such as the household and employer surveys, Case Mix and All-Payer Claims Databases, but will also include other relevant data sources.
This position will remain open until filled; however, first consideration will be given to those applicants that apply within the first 14 days. The full time salary range for this position is $58,401.20 - $78,762.58 annually.
Specifically, the Research Analyst will:
Preferred Qualifications:
Minimum Entrance Requirements:
Applicants must have at least (A) three years of full-time, or equivalent part-time, professional experience in business administration, health care planning or administration, public health policy or administration, human services policy analysis or administration or economics, the major duties of which include financial analysis of costs, expenses and revenue and/or the development, implementation and monitoring of financial reimbursement systems, or (B) any equivalent combination of the required experience and the substitutions below.
Substitutions:

I. A Bachelor's degree with a major in health care administration, hospital administration, public health or health services administration, accounting, business administration, business management, public policy, public administration or economics may be substituted for a maximum of two years of the required experience.*
II. A Graduate degree with a major in health care administration, hospital administration, public health or health services administration, accounting, business administration, business management, public policy, public administration or economics may be substituted for the required experience.
Total Compensation:
As an employee of the Commonwealth of Massachusetts you are offered a great career opportunity influencing a wide-spectrum of services to the diverse populations we serve - but it's more than a paycheck. The State's total compensation package features an outstanding set of employee benefits which you should consider towards your overall compensation, including:
BARGAINING UNIT: 06 NAGE, Reimbursement Systems Analyst II
CHIA is an Equal Opportunity / Affirmative Action Employer. Females, minorities, veterans, and persons with disabilities are strongly encouraged to apply.
If you have Diversity, Affirmative Action or Equal Employment Opportunity questions or need a Reasonable Accommodation, please contact Diversity Officer / ADA Coordinator: Tonya Bourassa 617-701-8127.
In compliance with federal laws, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.","https://www.indeed.com/rc/clk?jk=56979ae998a0aec0&fccid=7465094da85cc688&vjs=3","r+programming"
"Investment Risk Analyst","Income Research + Management","The Investment Team seeks an individual to join the Investment Risk Team. The position reports to the Director of Investment Risk and offers regular interaction with our senior Investment Team leadership, Portfolio Managers, Portfolio Strategists, Research Analysts and Traders. The position will also have direct exposure to members of our Product Management, LDI, Enterprise Solutions, Compliance and Business Risk Teams.
Responsibilities:
Required Skills and Experience:
Preferred Skills
Education Requirement:","https://www.indeed.com/rc/clk?jk=25eb07c08dc13e68&fccid=0c2117399b4556c3&vjs=3","r+programming"
"Analyst, Hockey Operations - Boston Bruins (Full Time)","Delaware North","The Boston Bruins Hockey Operations department is accepting applications for an experienced data analyst. This position reports to our Director of Hockey Analytics, and will assist in the evaluation of data relating to all areas of hockey operations, including in-game strategy, player valuation and acquisition, and roster composition/utilization.
Delaware North Companies, Incorporated and its subsidiaries consider applicants for all positions without regard to race, color, religion, creed, gender, national origin, age, disability, marital or veteran status, sexual orientation, or any other legally protected status. Delaware North is an equal opportunity employer.
To be considered for this role, please submit responses to the below questions and attach as a cover letter to your application.","https://www.indeed.com/rc/clk?jk=1299f85cf34b3a52&fccid=fd2507195d2393e1&vjs=3","r+programming"
